capacity_type,unit_capacity,item_code
Rate,0.0,558
Pcs,1.0,558
Point,0.0,558
Dl,0.0,3916
Rate,0.0,3916
Pcs,1.0,3916
Point,0.0,3916
Dl,0.0,3917
Rate,0.0,3917
Pcs,1.0,3917
Point,0.0,3917
Dl,0.0,629
Rate,0.0,629
Pcs,1.0,629
Point,0.0,629
Dl,0.0,791
Rate,0.0,791
Pcs,1.0,791
Point,0.0,791
Dl,0.0,583
Rate,0.0,583
Pcs,1.0,583
Point,0.0,583
Dl,0.0,39
Rate,0.0,39
Pcs,1.0,39
Point,0.0,39
Dl,0.0,459
Rate,0.0,459
Pcs,1.0,459
Point,4191.0,459
Dl,0.0,460
Rate,0.0,460
Pcs,1.0,460
Point,7727.0,460
Dl,0.0,3912
Rate,0.0,3912
Pcs,1.0,3912
Point,0.0,3912
Dl,0.0,622
Rate,0.0,622
Pcs,1.0,622
Point,0.0,622
Dl,0.0,636
Rate,0.0,636
Pcs,1.0,636
Point,0.0,636
Dl,0.0,462
Rate,0.0,462
Pcs,1.0,462
Point,271.0,462
Dl,0.0,3913
Rate,0.0,3913
Pcs,1.0,3913
Point,0.0,3913
Dl,0.0,80
Rate,0.0,80
Pcs,1.0,80
Point,0.0,80
Dl,0.0,68
Rate,36.43,68
Pcs,1.0,68
Point,0.0,68
Dl,0.0,138
Rate,0.0,138
Pcs,1.0,138
Point,0.0,138
Dl,0.0,69
Rate,36.43,69
Pcs,1.0,69
Point,0.0,69
Dl,0.0,561
Rate,0.0,561
Pcs,1.0,561
Point,0.0,561
Dl,0.0,99
Rate,0.0,99
Pcs,1.0,99
Point,0.0,99
Dl,0.0,585
Rate,0.0,585
Pcs,1.0,585
Point,0.0,585
Dl,0.0,3336
Rate,0.0,3336
Pcs,1.0,3336
Point,0.0,3336
Dl,0.0,64
Rate,0.0,64
Pcs,1.0,64
Point,0.0,64
Dl,0.0,3955
Rate,0.0,3955
Pcs,1.0,3955
Point,0.0,3955
Dl,0.0,580
Rate,0.0,580
Pcs,1.0,580
Point,512.0,580
Dl,0.0,799
Rate,0.0,799
Pcs,1.0,799
Point,0.0,799
Dl,0.0,3915
Rate,0.0,3915
Pcs,1.0,3915
Point,0.0,3915
Dl,0.0,301
Rate,0.0,301
Pcs,1.0,301
Point,0.0,301
Dl,0.0,606
Rate,0.0,606
Pcs,1.0,606
Point,0.0,606
Dl,0.0,608
Rate,0.0,608
Pcs,1.0,608
Point,0.0,608
Dl,0.0,610
Rate,0.0,610
Pcs,1.0,610
Point,0.0,610
Dl,0.0,613
Rate,0.0,613
Pcs,1.0,613
Point,0.0,613
Dl,0.0,611
Rate,0.0,611
Pcs,1.0,611
Point,0.0,611
Dl,0.0,614
Rate,0.0,614
Pcs,1.0,614
Point,0.0,614
Dl,0.0,616
Rate,0.0,616
Pcs,1.0,616
Point,0.0,616
Dl,0.0,154
Rate,0.0,154
Pcs,1.0,154
Point,0.0,154
Dl,0.0,155
Rate,0.0,155
Pcs,1.0,155
Point,0.0,155
Dl,0.0,110
Rate,0.0,110
Pcs,1.0,110
Point,653.0,110
Dl,0.0,48
Rate,0.0,48
Pcs,1.0,48
Point,0.0,48
Dl,0.0,3909
Rate,0.0,3909
Pcs,1.0,3909
Point,0.0,3909
Dl,0.0,3980
Rate,0.0,3980
Pcs,1.0,3980
Point,0.0,3980
Dl,0.0,453
Rate,0.0,453
Pcs,1.0,453
Point,139.0,453
Dl,0.0,454
Rate,0.0,454
Pcs,1.0,454
Point,0.0,454
Dl,0.0,271
Rate,0.0,271
Pcs,1.0,271
Point,0.0,271
Dl,0.0,273
Rate,0.0,273
Pcs,1.0,273
Point,0.0,273
Dl,0.0,114
Rate,0.0,114
Pcs,1.0,114
Point,0.0,114
Dl,0.0,275
Rate,0.0,275
Pcs,1.0,275
Point,0.0,275
Dl,0.0,3949
Rate,0.0,3949
Pcs,1.0,3949
Point,0.0,3949
Dl,0.0,159
Rate,0.0,159
Pcs,1.0,159
Point,0.0,159
Dl,0.0,163
Rate,0.0,163
Pcs,1.0,163
Point,0.0,163
Dl,0.0,167
Rate,0.0,167
Pcs,1.0,167
Point,0.0,167
Dl,0.0,117
Rate,0.0,117
Pcs,1.0,117
Point,0.0,117
Dl,0.0,51
Rate,0.0,51
Pcs,1.0,51
Point,0.0,51
Dl,0.0,52
Rate,0.0,52
Pcs,1.0,52
Point,0.0,52
Dl,0.0,53
Rate,0.0,53
Pcs,1.0,53
Point,0.0,53
Dl,0.0,86
Rate,0.0,86
Pcs,1.0,86
Point,0.0,86
Dl,0.0,635
Rate,0.0,635
Pcs,1.0,635
Point,0.0,635
Dl,0.0,54
Rate,0.0,54
Pcs,1.0,54
Point,0.0,54
Dl,0.0,321
Rate,0.0,321
Pcs,1.0,321
Point,0.0,321
Dl,0.0,322
Rate,0.0,322
Pcs,1.0,322
Point,0.0,322
Dl,0.0,55
Rate,0.0,55
Pcs,1.0,55
Point,0.0,55
Dl,0.0,3950
Rate,0.0,3950
Pcs,1.0,3950
Point,0.0,3950
Dl,0.0,298
Rate,0.0,298
Pcs,1.0,298
Point,0.0,298
Dl,0.0,491
Rate,0.0,491
Pcs,1.0,491
Point,1526.0,491
Dl,0.0,570
Rate,0.0,570
Pcs,1.0,570
Point,9294.0,570
Dl,0.0,550
Rate,0.0,550
Pcs,1.0,550
Point,1513.0,550
Dl,0.0,513
Rate,0.0,513
Pcs,1.0,513
Point,627.0,513
Dl,0.0,578
Rate,0.0,578
Pcs,1.0,578
Point,3795.0,578
Dl,0.0,578
Rate,0.0,578
Pcs,1.0,578
Point,3795.0,578
Dl,0.0,565
Rate,0.0,565
Pcs,1.0,565
Point,1153.0,565
Dl,0.0,506
Rate,0.0,506
Pcs,1.0,506
Point,1419.0,506
Dl,0.0,465
Rate,0.0,465
Pcs,1.0,465
Point,6573.0,465
Dl,0.0,518
Rate,0.0,518
Pcs,1.0,518
Point,187.0,518
Dl,0.0,524
Rate,0.0,524
Pcs,1.0,524
Point,55.0,524
Dl,0.0,554
Rate,0.0,554
Pcs,1.0,554
Point,30.0,554
Dl,0.0,525
Rate,0.0,525
Pcs,1.0,525
Point,1047.0,525
Dl,0.0,473
Rate,0.0,473
Pcs,1.0,473
Point,6573.0,473
Dl,0.0,489
Rate,0.0,489
Pcs,1.0,489
Point,1118.0,489
Dl,0.0,490
Rate,0.0,490
Pcs,1.0,490
Point,1526.0,490
Dl,0.0,536
Rate,0.0,536
Pcs,1.0,536
Point,5902.0,536
Dl,0.0,474
Rate,0.0,474
Pcs,1.0,474
Point,1153.0,474
Dl,0.0,486
Rate,0.0,486
Pcs,1.0,486
Point,313.0,486
Dl,0.0,569
Rate,0.0,569
Pcs,1.0,569
Point,9294.0,569
Dl,0.0,499
Rate,0.0,499
Pcs,1.0,499
Point,0.0,499
Dl,0.0,507
Rate,0.0,507
Pcs,1.0,507
Point,6179.0,507
Dl,0.0,501
Rate,0.0,501
Pcs,1.0,501
Point,1569.0,501
Dl,0.0,469
Rate,0.0,469
Pcs,1.0,469
Point,7626.0,469
Dl,0.0,471
Rate,0.0,471
Pcs,1.0,471
Point,7626.0,471
Dl,0.0,535
Rate,0.0,535
Pcs,1.0,535
Point,0.0,535
Dl,0.0,551
Rate,0.0,551
Pcs,1.0,551
Point,266.03,551
Dl,0.0,549
Rate,0.0,549
Pcs,1.0,549
Point,1513.0,549
Dl,0.0,483
Rate,0.0,483
Pcs,1.0,483
Point,80.0,483
Dl,0.0,463
Rate,0.0,463
Pcs,1.0,463
Point,4191.0,463
Dl,0.0,511
Rate,0.0,511
Pcs,1.0,511
Point,22.0,511
Dl,0.0,556
Rate,0.0,556
Pcs,1.0,556
Point,98.0,556
Dl,0.0,446
Rate,0.0,446
Pcs,1.0,446
Point,2394.0,446
Dl,0.0,448
Rate,0.0,448
Pcs,1.0,448
Point,191.0,448
Dl,0.0,449
Rate,0.0,449
Pcs,1.0,449
Point,1445.0,449
Dl,0.0,127
Rate,0.0,127
Pcs,1.0,127
Point,0.0,127
Dl,0.0,479
Rate,0.0,479
Pcs,1.0,479
Point,2062.0,479
Dl,0.0,512
Rate,0.0,512
Pcs,1.0,512
Point,627.0,512
Dl,0.0,477
Rate,0.0,477
Pcs,1.0,477
Point,28.0,477
Dl,0.0,478
Rate,0.0,478
Pcs,1.0,478
Point,45.0,478
Dl,0.0,575
Rate,0.0,575
Pcs,1.0,575
Point,3819.0,575
Dl,0.0,575
Rate,0.0,575
Pcs,1.0,575
Point,3819.0,575
Dl,0.0,577
Rate,0.0,577
Pcs,1.0,577
Point,3795.0,577
Dl,0.0,577
Rate,0.0,577
Pcs,1.0,577
Point,3795.0,577
Dl,0.0,480
Rate,0.0,480
Pcs,1.0,480
Point,86.0,480
Dl,0.0,553
Rate,0.0,553
Pcs,1.0,553
Point,584.0,553
Dl,0.0,481
Rate,0.0,481
Pcs,1.0,481
Point,512.0,481
Dl,0.0,482
Rate,0.0,482
Pcs,1.0,482
Point,0.0,482
Dl,0.0,544
Rate,0.0,544
Pcs,1.0,544
Point,942.065,544
Dl,0.0,543
Rate,0.0,543
Pcs,1.0,543
Point,1569.0,543
Dl,0.0,534
Rate,0.0,534
Pcs,1.0,534
Point,1053.0,534
Dl,0.0,560
Rate,0.0,560
Pcs,1.0,560
Point,610.0,560
Dl,0.0,259
Rate,0.0,259
Pcs,1.0,259
Point,0.0,259
Dl,0.0,455
Rate,0.0,455
Pcs,1.0,455
Point,136.0,455
Dl,0.0,468
Rate,0.0,468
Pcs,1.0,468
Point,3938.0,468
Dl,0.0,547
Rate,0.0,547
Pcs,1.0,547
Point,68.0,547
Dl,0.0,564
Rate,0.0,564
Pcs,1.0,564
Point,1153.0,564
Dl,0.0,450
Rate,0.0,450
Pcs,1.0,450
Point,173.0,450
Dl,0.0,451
Rate,0.0,451
Pcs,1.0,451
Point,166.0,451
Dl,0.0,456
Rate,0.0,456
Pcs,1.0,456
Point,915.0,456
Dl,0.0,514
Rate,0.0,514
Pcs,1.0,514
Point,1024.0,514
Dl,0.0,472
Rate,0.0,472
Pcs,1.0,472
Point,3938.0,472
Dl,0.0,467
Rate,0.0,467
Pcs,1.0,467
Point,136.0,467
Dl,0.0,497
Rate,0.0,497
Pcs,1.0,497
Point,522.0,497
Dl,0.0,508
Rate,0.0,508
Pcs,1.0,508
Point,43.0,508
Dl,0.0,234
Rate,0.0,234
Pcs,1.0,234
Point,0.0,234
Dl,0.0,545
Rate,0.0,545
Pcs,1.0,545
Point,299.0,545
Dl,0.0,546
Rate,0.0,546
Pcs,1.0,546
Point,580.0,546
Dl,0.0,504
Rate,0.0,504
Pcs,1.0,504
Point,1167.0,504
Dl,0.0,505
Rate,0.0,505
Pcs,1.0,505
Point,1419.0,505
Dl,0.0,527
Rate,0.0,527
Pcs,1.0,527
Point,47.0,527
Dl,0.0,559
Rate,0.0,559
Pcs,1.0,559
Point,0.0,559
Dl,0.0,487
Rate,0.0,487
Pcs,1.0,487
Point,22.0,487
Dl,0.0,492
Rate,0.0,492
Pcs,1.0,492
Point,71.0,492
Dl,0.0,567
Rate,0.0,567
Pcs,1.0,567
Point,419.0,567
Dl,0.0,568
Rate,0.0,568
Pcs,1.0,568
Point,1212.0,568
Dl,0.0,529
Rate,0.0,529
Pcs,1.0,529
Point,7115.0,529
Dl,0.0,530
Rate,0.0,530
Pcs,1.0,530
Point,31.0,530
Dl,0.0,531
Rate,0.0,531
Pcs,1.0,531
Point,452.0,531
Dl,0.0,532
Rate,0.0,532
Pcs,1.0,532
Point,580.0,532
Dl,0.0,493
Rate,0.0,493
Pcs,1.0,493
Point,605.0,493
Dl,0.0,494
Rate,0.0,494
Pcs,1.0,494
Point,460.0,494
Dl,0.0,495
Rate,0.0,495
Pcs,1.0,495
Point,559.0,495
Dl,0.0,464
Rate,0.0,464
Pcs,1.0,464
Point,6573.0,464
Dl,0.0,459
Rate,0.0,459
Pcs,1.0,459
Point,4191.0,459
Dl,0.0,460
Rate,0.0,460
Pcs,1.0,460
Point,7727.0,460
Dl,0.0,462
Rate,0.0,462
Pcs,1.0,462
Point,271.0,462
Dl,0.0,498
Rate,0.0,498
Pcs,1.0,498
Point,188.0,498
Dl,0.0,540
Rate,0.0,540
Pcs,1.0,540
Point,5631.0,540
Dl,0.0,500
Rate,0.0,500
Pcs,1.0,500
Point,35.0,500
Dl,0.0,475
Rate,0.0,475
Pcs,1.0,475
Point,13.0,475
Dl,0.0,517
Rate,0.0,517
Pcs,1.0,517
Point,187.0,517
Dl,0.0,520
Rate,0.0,520
Pcs,1.0,520
Point,495.0,520
Dl,0.0,457
Rate,0.0,457
Pcs,1.0,457
Point,1634.0,457
Dl,0.0,521
Rate,0.0,521
Pcs,1.0,521
Point,811.0,521
Dl,0.0,541
Rate,0.0,541
Pcs,1.0,541
Point,232.0,541
Dl,0.0,523
Rate,0.0,523
Pcs,1.0,523
Point,55.0,523
Dl,0.0,537
Rate,0.0,537
Pcs,1.0,537
Point,397.065,537
Dl,0.0,453
Rate,0.0,453
Pcs,1.0,453
Point,139.0,453
Dl,0.0,454
Rate,0.0,454
Pcs,1.0,454
Point,0.0,454
Dl,0.0,485
Rate,0.0,485
Pcs,1.0,485
Point,1404.0,485
Dl,0.0,496
Rate,0.0,496
Pcs,1.0,496
Point,65.0,496
Dl,0.0,516
Rate,0.0,516
Pcs,1.0,516
Point,74.0,516
Dl,0.0,510
Rate,0.0,510
Pcs,1.0,510
Point,0.0,510
